date,mid_price
33:05.1,18973.525
33:05.2,18973.545
33:05.3,18975.47
33:05.4,18975.66
33:05.5,18975.73
33:05.6,18975.69
33:05.7,18975.71
33:05.8,18975.78
33:05.9,18975.765
33:06.0,18975.715
33:06.1,18975.43
33:06.2,18975.97
33:06.3,18975.98
33:06.4,18976.405
33:06.5,18976.4
33:06.6,18976.4
33:06.7,18976.395
33:06.8,18976.395
33:06.9,18976.595
33:07.0,18976.46
33:07.1,18976.84
33:07.2,18976.84
33:07.3,18976.87
33:07.4,18976.61
33:07.5,18976.515
33:07.6,18976.515
33:07.7,18976.515
33:07.8,18976.515
33:07.9,18976.51
33:08.0,18976.505
33:08.1,18976.505
33:08.2,18976.55
33:08.3,18976.59
33:08.4,18977.68
33:08.5,18978.7
33:08.6,18979.225
33:08.7,18979.195
33:08.8,18979.065
33:08.9,18978.555
33:09.0,18978.945
33:09.1,18978.51
33:09.2,18978.555
33:09.3,18979.125
33:09.4,18978.935
33:09.5,18978.73
33:09.6,18977.83
33:09.7,18978.075
33:09.8,18978.48
33:09.9,18977.865
33:10.0,18977.86
33:10.1,18978.465
33:10.2,18978.405
33:10.3,18978.4
33:10.4,18978.375
33:10.5,18978.055
33:10.6,18977.975
33:10.7,18977.87
33:10.8,18977.94
33:10.9,18977.96
33:11.0,18978.755
33:11.1,18978.75
33:11.2,18977.795
33:11.3,18977.9
33:11.4,18977.9
33:11.5,18978.265
33:11.6,18978.365
33:11.7,18978.34
33:11.8,18978.335
33:11.9,18978.235
33:12.0,18978.155
33:12.1,18978.135
33:12.2,18978.135
33:12.3,18978.145
